position_name,salary,city,experience,education,position_type
,,,,,
Python,16K-30K,城市：天津,经验：经验不限,学历：本科,1. 负责公司级平台的开发与维护2. 负责平台架构调优与优化3. 具有大数据相关工作经验者优先4. 熟练使用golang者优先5. 全栈工程师优先
,,,,,
python,10K-11K,城市：天津,经验：经验不限,学历：本科,1.开发和维护网络传输模块2.附则模块的跨平台移植3.熟练掌握1门编程语言4.熟练掌握多线程，及多线程间的通信方式5.熟悉常见的网络IO复用模型，写过异步框架的程序6.熟悉：TCP，ip协议栈（tcp  udp  http）
,,,,,
Python,4K-5K,城市：天津,经验：应届生,学历：本科,1.熟悉python的Django或其他web框架2.熟悉数据库Mysql等3.有部署项目的经验
,,,,,
python 教师,5K-10K,城市：天津,经验：1年以内,学历：大专,挑战万元月薪，上不封顶，没有不可能，只有你不敢！敢来，我在这里等你！ 我们是一家上市企业，孩子未来的科技教育之窗！为了拓展业务，诚邀精英的你加入共创辉煌！ &nbsp; 岗位职责： 1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 做好每天的拜访计划和目标 2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 2.参与公司地推活动，获取潜在客户信息 3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 邀约意向家长体验试听并协助课程讲解 4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 协助校区校长、主管等领导开展招生活动 5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 不定期参加岗位和能力培训学习 &nbsp; 任职资格 1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 积极性上，沟通能力强，有团队合作和敬业精神 2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 执行力好，抗压能力强，富有责任心！ 3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 热爱教育行业者 &nbsp; 你的薪酬福利 1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 薪酬= 基本工资+补贴+ 提成+奖金 2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 上班时间早上10:00 3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 工作地点：北京17个校区，天津4个校区，全国100个校区可选，在乐博乐博你就是这么任性！ 4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 五险一金，一个温暖的大家庭 5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 年轻有趣的工作环境，轻松愉悦的工作氛围，专业系统带薪培训机器人课程，边玩机器人边工作，享受高科技带来的乐趣！ 6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 法定假日、年假、旅游、活动丰富多彩，年底带薪年假15天！
,,,,,
python,10K-15K,城市：天津,经验：1-3年,学历：本科,"工作职责:1、研发自动化运维平台和工具，提高运维、开发协作效率，规范操作流程，ERP等SaaS平台底层相关业务逻辑的研发经验；2、研发基础服务组件，解决运维和测试实际需求，减少重复开发与运维；3、评估系统性能和运行状态，建立量化指标，用数据指导优化；任职资格:1、具有二年以上Python软件开发或系统应用管理经验，有odoo系统开发经验；2、熟练掌握Python语言，熟悉Django,flask等框架；3、熟悉常用的CI工具,Jenkins,git,maven等；4、具有良好的沟通协调能力、较强的团队合作精神、优秀的执行能力；5、强烈的责任心和敬业精神，结果导向型思维；6、熟悉以下平台或技术优先：1) 有自动化部署和自动化运维经验（代码发布、资产配置管理、自动监控脚本编写等）2) 熟悉以下关键词：Devops/Docker/Ansible3) 熟悉前端技术，如CSS，JQuery，bootstrap等，熟悉HTTP协议及W3C相关互联网规范；7、有高并发处理经验、分布式架构经验优先，拥抱开源，有 Github 项目加分。"
,,,,,
python教师,4K-8K,城市：天津,经验：经验不限,学历：大专,【岗位职责】：1、负责4-16岁课程的教学、备课、课后总结；2、定期参加教学研讨、教学交流培训；3、带领学生参加全国性及国际性青少年科技类赛事；【任职要求】：1、专科及以上学历，师范、理工科专业优先；2、普通话标准，具备良好的学习能力与教育技能，善于接受新鲜事物。【了解我们】：--低调奢华的公司背景：唯一1家登陆A股上市的机器人教育机构、新东方及真格基金战略合作伙伴；--职业发展拼多多：敢拼敢做，金牌教师or教学主管or课程研发主管or校长任你挑；--员工family：提供温馨的员工宿舍，不再为上班路上挤成相片毁了一天的好心情；--员工福利：生日Party、团建活动、国内外出游奖励，深刻体会帝都的风土人情；--多元化培训课程：带薪岗前培训、在职技能提升，让你迅速蜕变成职场达人！--完美假期组合：婚假、产假、哺乳假、法定假日、带薪病假、带薪年假等，劳逸结合福利多多！--悠哉的上班时间：每天早10点上班睡个懒觉也无妨；
,,,,,
高级Python开发工程师,12K-24K,城市：天津,经验：3-5年,学历：本科,岗位职责: 1、参与实现基于互联网账户数据的新一代信用报告  2、负责编写爬虫程序，爬取并清理外部数据，维护数据源抓取模版，监控第三方数据源的健康状况  3、负责搭建、维护公司内部数据存储计算平台等基础设施，根据需求设计和实现底层通用性工具  要求:  1、性格开朗，有责任心，做事主动细致，善于沟通，有团队精神 2、全日制本科及以上学历，计算机、数学、金融、统计等相关专业  3、5年以上使用Python开发和部署经验，熟悉MongoDB/Celery/Rabbitmq开发，工程能力强，基础扎实，喜欢钻研新技术  4、喜欢重构代码，追求代码的极致优化  5、有数据挖掘、机器学习项目经验优先
,,,,,
Python工程师(信息安全方向),10K-20K,城市：天津,经验：5-10年,学历：本科,"1、负责网络爬虫系统的架构设计与开发，进行数据的爬取、清洗、消重等工作； 负责爬虫核心算法和策略的优化，如反爬虫策略,数据抽取算法等；2、负责公司网络安全产品的架构设计、框架研发、后台开发等工作，已有产品长期的架构优化，性能优化等工作。3、产品体系架构文档/设计文档编/详细设计等开发文档的编写。    任职要求：1、5年以上开发经验，其中3年以上为Python方向，有实际的产品或项目开发经验，熟练掌握python语言。2、熟悉Python 后端开发，熟练掌握Django，paramiko、flask等框架。熟练掌握正则表达式，精通一种爬虫框架，如scrapy、webmagic、nutch、heritrix等。3、有分布式系统设计和开发、重构经验，熟悉高并发 &amp; 高可用架构、负载均衡、消息队列、缓存、分布式存储的应用和开发；4、 对网络协议有一定的理解，熟悉Linux下开发，深入理解TCP/IP及主要应用层协议；※优先条件（任意一项）:具有有过安全扫描相关开发经验，包括但不限于网络爬虫、深度学习、漏洞扫描工具、网络空间态势信息搜集等；具有熟悉常见 Web 漏洞攻击原理和验证扫描方法者；熟悉攻防模型和安全数据（例如网络流量数据，系统安全收集的数据等）的分析与使用熟悉主流关系型数据库,具备ELK/Hadoop/Spark等大数据开源工具的经验；"
,,,,,
Python，arcgis，autocad开发,8K-15K,城市：天津,经验：1年以内,学历：本科,"熟练使用python，快速处理数据，熟练使用arcgis，autocad二次开发处理数据的优先，熟练使用sqlite,mongodb等开源数据库的优先。"
,,,,,
Python 开发工程师（天津）,15K-30K,城市：天津,经验：1-3年,学历：本科,Python开发工程师2年经验+ base：天津公司介绍：小斑马货栈是一家致力于变革供应链行业的初创公司，如果你也有意愿参与到供应链行业的产品研发，期望做些有价值的事，那么请联系我们，一起做出变化。简历投递：*****岗位职责：1、参与公司系统产品的需求分析、设计和开发；2、负责具体业务模块的开发、优化工作；3、应用数据挖掘/机器学习等技术，针对用户行为及内容信息建模，挖掘潜在商业价值。4、负责运营团队提供支持，解决部署实施过程遇到的技术问题任职要求：1、 精通Python，2-3年以上Python开发经验，具有良好的编码习惯，熟悉常见的设计模式的python实现方式； 2、精通Python服务端编程，熟悉Django/flask或者相关web开发框架；精通网络编程； 3、熟悉Linux操作系统下的开发、部署、维护等工作； 4、有良好的沟通能力、较强的学习或自学能力、较强的团队合作意识；热爱程序开发工作，有责任感；能适应出差。加分项：1、具有开源项目开发经验（需要提供github地址）。2、熟悉C／C++，并且有相关项目开发经验。3、有基于大数据挖掘分析、机器学习／深度学习、在线学习大型项目经验4、有ERP/OMS/WMS/金融等系统的项目开发经验。5、熟悉或者精通一种或者多种关系数据库的使用、设计和优化。
,,,,,
Python自动化测试,5K-9K,城市：天津,经验：1-3年,学历：大专,任职要求：1、掌握python语言，了解基本的数据结构、算法和设计模式。2、熟悉macaca appium webdriver等自动化测试框架 。3、会使用linux系统。4、计算机相关专业专科以上学历。5、熟练编写测试用例6、可以对测试场景进行分析7、1年以上软件测试行业工作经验加分项熟悉python 并开发过python项目的优先录用
,,,,,
Python,8K-12K,城市：天津,经验：1-3年,学历：本科,1、负责Python相关软件、后台服务程序开发；2、建立和完善开发文档；3、协助对所开发的功能进行测试，协助产品部署。任职要求：1、2年以上Python开发经验，熟练掌握Python的使用；2、具有实际项目开发经验；3、了解并掌握Django、web.py、Tornado中至少一种Web开发框架；4、熟悉Mysql、Mongodb数据库，了解redis，熟悉linux平台开发；5、具有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；6、具备较好的学习能力、问题分析能力，可以独立调试解决问题；7、良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验；8、工作踏实，态度积极，能够承受工作压力，能适应严格项目管理；9、优先考虑：同时具有java开发经验。
,,,,,
Python开发实习生（天津）,3K-4K,城市：天津,经验：应届生,学历：本科,【岗位职责】1、参与妙计大数据平台、旅行知识图谱的构建；2、参与数据抓取、数据清洗、数据融合、数据统计分析等工作。【职位要求】1、熟悉Python，有良好的编程习惯，掌握文件操作、网络操作、文本数据处理者优先；2、了解Linux/MySQL/Gitlab/Vim等工具；3、熟悉常见的数据结构和算法；4、重点院校计算机或相关专业本科及以上学历；5、责任感强烈，良好的学习能力；6、不接受已毕业的同学投递实习生岗位。
,,,,,
python工程师,10K-18K,城市：天津,经验：3-5年,学历：本科,【岗位职责】：1、负责公司SaaS平台ERP产品的设计、研发； 2、用Python开发Odoo (OpenERP)客制化新模块； 3、负责公司SAAS平台高可用WEB服务的设计、性能优化； 4、工作中相关设计、接口文档的编写。 【任职要求】：1. 计算机相关专业本科及以上学历，3年以上基于Python的高并发、高性能后台服务的Web应用开发经验，有分布式系统经验尤佳；2. 熟悉Odoo框架，了解Odoo使用的基本Python库，能熟练的对Odoo (OpenERP)进行二次开发的优先；有ERP/CRM/MES开发经验的优先；3. 熟悉Linux系统管理运维，熟悉常用命令及Shell脚本编写；4. 熟悉MySQL、POSTGRESQL、Redis，熟悉数据库设计和优化；5. 熟悉H5及JS前端开发，能够使用BOOTSTRAP进行页面布局。
,,,,,
Python开发测试工程师,8K-14K,城市：天津,经验：1-3年,学历：本科,【职责描述】1、负责自动化测试平台的设计和开发；2、负责自动化测试工具的运维；3、参与自动化测试脚本的适配和编写。【任职要求】1.具备扎实的编程基础，精通Python语言，具备良好的代码风格，有python开发部署经验者有先，有其他语言开发经验者也可考虑；2.能使用Python语言独立编写自动化测试脚本，了解并熟练掌握至少一种Python Web开发框架；3.了解数据库原理，对SQL Server、Oracle、MySql等主流数据库至少熟悉一种；4.熟悉linux系统原理，熟练掌握linux系统相关操作与命令；5.有较强的分析问题与独立解决问题的能力，有良好的沟通能力和团队协作能力，具有高度的责任心和敬业精神。 该职位base在天津
,,,,,
